priority_rank,ID,risk_score,delay_severity,priority_score
1,4388,0.89252967,8,7.140237331390381
2,750,0.8783616,8,7.02689266204834
3,13713,0.8316208,8,6.652966499328613
4,13407,0.9397393,7,6.5781750082969666
5,20722,0.9395568,7,6.576897442340851
6,20255,0.93842244,7,6.568957090377808
7,9672,0.93724823,7,6.560737609863281
8,16789,0.9368621,7,6.558034777641296
9,24168,0.93555856,7,6.548909902572632
10,29771,0.9340935,7,6.538654327392578
11,14862,0.93269837,7,6.528888583183289
12,1147,0.93130004,7,6.519100308418274
13,17863,0.92950666,7,6.50654661655426
14,674,0.9166375,7,6.4164623618125916
15,2363,0.801352,8,6.410816192626953
16,8773,0.91581607,7,6.410712480545044
17,20904,0.8816432,7,6.171502232551575
18,1895,0.75683504,8,6.054680347442627
19,27916,0.86116886,7,6.028182029724121
20,8844,0.69451505,8,5.5561203956604
21,3538,0.92301553,6,5.538093209266663
22,8657,0.86960626,6,5.217637538909912
23,20674,0.7123758,7,4.986630737781525
24,27511,0.8310412,6,4.986247301101685
25,14440,0.92275625,5,4.613781273365021
26,16582,0.9192967,5,4.596483409404755
27,20968,0.9161706,5,4.58085298538208
28,17779,0.91454315,5,4.572715759277344
29,9522,0.89931995,5,4.496599733829498
30,25249,0.89659774,5,4.482988715171814
31,851,0.7408297,6,4.4449782371521
32,8231,0.88304865,5,4.4152432680130005
33,13784,0.8753057,5,4.376528561115265
34,29652,0.84287643,5,4.214382171630859
35,20164,0.8282245,5,4.141122400760651
36,19271,0.82638437,5,4.131921827793121
37,9032,0.8246479,5,4.123239517211914
38,29196,0.81965154,5,4.0982577204704285
39,20738,0.80962986,5,4.048149287700653
40,9762,0.56398153,7,3.9478707313537598
41,17189,0.78117085,5,3.9058542251586914
42,13998,0.7742761,5,3.871380388736725
43,27164,0.9333989,4,3.733595609664917
44,17748,0.92584544,4,3.7033817768096924
45,10390,0.92497045,4,3.6998817920684814
46,25975,0.7397187,5,3.6985933780670166
47,7531,0.92384714,4,3.6953885555267334
48,23416,0.91921127,4,3.676845073699951
49,26785,0.9189457,4,3.6757829189300537
50,9228,0.91636634,4,3.6654653549194336
51,8471,0.9162526,4,3.665010452270508
52,11244,0.9161827,4,3.6647307872772217
53,12775,0.914098,4,3.6563920974731445
54,1247,0.91407907,4,3.6563162803649902
55,29116,0.9137338,4,3.654935121536255
56,29414,0.9091304,4,3.636521577835083
57,18911,0.9081622,4,3.6326487064361572
58,29494,0.90692765,4,3.6277105808258057
59,27536,0.90513283,4,3.6205313205718994
60,2422,0.9036042,4,3.6144168376922607
61,7851,0.8958202,4,3.5832808017730713
62,25193,0.8772336,4,3.508934497833252
63,2466,0.8765427,4,3.5061707496643066
64,24013,0.87552774,4,3.5021109580993652
65,10195,0.8429412,4,3.371764898300171
66,2103,0.8183684,4,3.2734735012054443
